full_id,station,detection_time,z,hpe_s,hpe_m,rmse,sensor_value,sensor_unit,n_basic,rx_detected,n_rx_detected,rx_used,n_rx_used,detection_longitude,detection_latitude,source_file,tag_id,units,uncalibrated_slope,uncalibrated_intercept,depth_uncalibrated,calibrated_slope,calibrated_intercept,depth_calibrated,water_elevation_navd88,fish_elevation_navd88_uncalibrated,fish_elevation_navd88_calibrated,bath_elevation_navd88,fish_height_uncalibrated,fish_height_calibrated
A180-1702-56301,NA,2021-05-22T10:10:24Z,-1,104.81134851421,NA,0,NA,NA,1,300821 302118 461400,3,300821 302118 461400,3,-86.3187078045624,43.4259164050871,all_HR2.csv,56301,NA,NA,NA,NA,NA,NA,NA,177.254,NA,NA,176.4260711669922,NA,NA
A180-1702-56301,NA,2021-05-22T10:12:34Z,-1,131.342116389826,NA,0,NA,NA,1,300821 302118 461400,3,300821 302118 461400,3,-86.3186662255794,43.42598183533,all_HR2.csv,56301,NA,NA,NA,NA,NA,NA,NA,177.254,NA,NA,175.46600341796875,NA,NA
A180-1702-56301,NA,2021-05-22T10:13:33Z,-1,466.753964750481,NA,0,NA,NA,1,300821 302118 461400,3,300821 302118 461400,3,-86.3186826928351,43.4259946462585,all_HR2.csv,56301,NA,NA,NA,NA,NA,NA,NA,177.254,NA,NA,175.22738647460935,NA,NA
A180-1702-56301,NA,2021-05-22T10:13:48Z,-1,65.1087427678809,NA,0,NA,NA,1,300821 302118 461400,3,300821 302118 461400,3,-86.3186279243357,43.4259723311589,all_HR2.csv,56301,NA,NA,NA,NA,NA,NA,NA,177.254,NA,NA,175.76600646972656,NA,NA
A180-1702-56301,NA,2021-05-22T10:14:05Z,-1,19.4508220076868,NA,0.313173648920884,NA,NA,2,300821 302118 461400 461397,4,300821 302118 461400 461397,4,-86.3185533382396,43.4259470194532,all_HR2.csv,56301,NA,NA,NA,NA,NA,NA,NA,177.254,NA,NA,175.8029327392578,NA,NA
A180-1702-56301,NA,2021-05-22T10:14:25Z,-1,15.2342766095397,NA,0.0557435690642972,NA,NA,2,300821 302118 461400 461397,4,300821 302118 461400 461397,4,-86.3185550943329,43.4259322715388,all_HR2.csv,56301,NA,NA,NA,NA,NA,NA,NA,177.254,NA,NA,175.88055419921875,NA,NA
H170-1802-56301,NA,2021-05-22T10:14:32Z,-1,420.158759442587,NA,1200.81142615086,NA,NA,1,461397 461396 461400 461397 461396,5,461400 461397 461396,3,-86.3185686157727,43.4259353711407,all_HR2.csv,56301,NA,NA,NA,NA,NA,NA,NA,177.254,NA,NA,175.88665771484375,NA,NA
A180-1702-56301,NA,2021-05-22T10:14:49Z,-1,3.39607745078867,NA,0.462209439100579,NA,NA,9,300821 302118 461400 461397 461396,5,300821 302118 461400 461397 461396,5,-86.3184514679134,43.4259126171683,all_HR2.csv,56301,NA,NA,NA,NA,NA,NA,NA,177.254,NA,NA,175.78768920898435,NA,NA
A180-1702-56301,NA,2021-05-22T10:15:07Z,-1,2.15871780040453,NA,0.0796442250600296,NA,NA,10,300821 302118 461400 461397 461396,5,300821 302118 461400 461397 461396,5,-86.3184270451066,43.4259067564046,all_HR2.csv,56301,NA,NA,NA,NA,NA,NA,NA,177.253,NA,NA,175.87420654296875,NA,NA
A180-1702-56301,NA,2021-05-22T10:15:38Z,-1,0.946304138390599,NA,0.32282691458794,NA,NA,12,300821 302118 461400 461397 461396 461419,6,300821 302118 461400 461397 461396 461419,6,-86.3183669909378,43.4258442291543,all_HR2.csv,56301,NA,NA,NA,NA,NA,NA,NA,177.253,NA,NA,176.24493408203125,NA,NA
